por	pob
Se a pezar do uso do remedio subsistir a oppressaõ , e abundancia de humor no bofe , repetir-se-ha outra vez , e applicar-se-haõ emplastros vesicatorios ás barrigas das pernas ; este he o unico meio de fazer parar os progressos do mal , e de evitar as funestas consequencias desta especie de peripneumonia .	Se a pesar do uso do remédio subsistir a opressão, e abundância de humor no bofe, repetir-se-á outra vez, e aplicar-se-ão emplastros vesicatórios às barrigas das pernas; este é o único meio de fazer parar os progressos do mal, e de evitar as funestas consequências desta espécie de peripneumonia.
Naõ se pode determinar nada de certo , e fixo sobre o decurso , e a duraçaõ das febres malignas ; esta doença corre muitas vezes os seus periodos muito depressa , e os doentes morrem antes do setimo , ou oitavo dia ; algumas vezes chega aos quatorze , e se extende mesmo além do vinte e hum , segundo a força do mal , e compleiçaõ do doente , o bom , ou o máo tratamento .	Não se pode determinar nada de certo, e fixo sobre o decurso, e a duração das febres malignas; esta doença corre muitas vezes os seus períodos muito depressa, e os doentes morrem antes do sétimo, ou oitavo dia; algumas vezes chega aos quatorze, e se estende mesmo além do vinte e um, segundo a força do mal, e compleição do doente, o bom, ou o mau tratamento.
Só este nome de vomitorio os faz irritar ; e desde que se lhes propõe , para logo ficaõ a tremer sem saber o porque , mas eu gostaria com tudo de os poder desenganar huma vez por todas , e de lhes fazer comprehender , que elles naõ tem nada que recear , tomando o tartaro emetico preparado segundo a formula , ou receita do N. 21. , a agoa em que este remedio esta , para assim dizer , affogado , modera a sua acçaõ , fa-la mais suave , faz que aquelles que o tomaõ se naõ fatiguem , e naõ vomitem se naõ tanto quanto quizerem , e tanto quanto lhes fôr necessario : eu concordo em que o tartaro emetico , e todos os remedios , que fazem vomitar , naõ saõ sem perigo se se daô a hum doente , que tem huma febre muito violenta , o pulso chêo , e duro , e por consequencia alguma disposiçaõ inflammatoria no estomago , ou no baixo ventre ; do mesmo modo se naõ pódem tambem dar sem perigo , ainda que naõ haja esta disposiçaõ inflammatoria , a hum doente , cujo ventre está carregado , e por assim dizer , recheado de materias corruptas , ou porque se tenha tardado muito em administrar estes remedios , porque o doente he taõ fraco , que se julgue, que naõ está em estado de supportar as concussões , ou choques , que os remedios produzem .	Só este nome de vomitório os faz irritar; e desde que se lhes propõe, para logo ficam a tremer sem saber o porquê, mas eu gostaria contudo de os poder desenganar uma vez por todas, e de lhes fazer compreender, que eles não tem nada que recear, tomando o tártaro emético preparado segundo a fórmula, ou receita do N. 21., a água em que este remédio está, para assim dizer, afogado, modera a sua ação, fá-la mais suave, faz que aqueles que o tomam se não fatiguem, e não vomitem se não tanto quanto quiserem, e tanto quanto lhes for necessário: eu concordo em que o tártaro emético, e todos os remédios, que fazem vomitar, não são sem perigo se se dão a um doente, que tem uma febre muito violenta, o pulso cheio, e duro, e por consequência alguma disposição inflamatória no estômago, ou no baixo ventre; do mesmo modo se não podem também dar sem perigo, ainda que não haja esta disposição inflamatória, a um doente, cujo ventre está carregado, e por assim dizer, recheado de matérias corruptas, ou porque se tenha tardado muito em administrar estes remédios, porque o doente é tão fraco, que se julgue, que não está em estado de suportar as concussões, ou choques, que os remédios produzem.
Tem-se visto grandes disgraças em casas particulares , aonde falta a experiencia do curativo , dando de comer ao enfermo naquella hora , que o Medico determinou , na qual ainda naõ estava livre do crefcimento; e muitas vezes pelo enfermo pedir de comer , precisado da vontade de beber .	Tem-se visto grandes desgraças em casas particulares, aonde falta a experiência do curativo, dando de comer ao enfermo naquela hora, que o Médico determinou, na qual ainda não estava livre do crescimento; e muitas vezes pelo enfermo pedir de comer, precisado da vontade de beber.
Destas Obserações aprendaõ os Medicos modernos , & os pays de familia cinco cousas muito importantes , & necessarias para curar bem aos seus doentes .	Destas Observações aprendam os Médicos modernos, e os pais de família cinco coisas muito importantes, e necessárias para curar bem aos seus doentes.
Quando naõ haja as sementes de zaragatoa , podem supprir as pevides de marmello .	Quando não haja as sementes de zaragatoa, podem suprir as pevides de marmelo.
Em casa de Antonio Luis Gonçalves da Camara , Almotacel Mòr do Reyno , succedeo , que estando hum seu criado doente com hũa febre ardente , acompanhada com muitos delirios , se levantou da cama , sendo alta noite , & abrindo as portas sem ser sentido , sahio de casa , & guiado pelo seu delirio ; sem saber o  que fazia , foy dar comsigo em o cano real , & entrando por elle dentro cahio desmayado & porque esteve cinco horas debaixo da abobada , & metido na agua do dito cano , se temperou, & resfriou de sorte o calor febril , que ao amanhecer se achou sem febre , & sem delirio & sahio do cano , causando admiraçaõ aos que o viraõ sahir, sem saber quem alli o levara .	Em casa de Antonio Luis Gonçalves da Camara, Almotacel Mor do Reino, sucedeu, que estando um seu criado doente com uma febre ardente, acompanhada com muitos delírios, se levantou da cama, sendo alta noite, e abrindo as portas sem ser sentido, saiu de casa, e guiado pelo seu delírio; sem saber o que fazia, foi dar consigo em o cano real, e entrando por ele dentro caiu desmaiado e porque esteve cinco horas debaixo da abóbada, e metido na água do dito cano, se temperou, e resfriou de sorte o calor febril, que ao amanhecer se achou sem febre, e sem delírio e saiu do cano, causando admiração aos que o viram sair, sem saber quem ali o levara.
10 . Zacuto Lusitano diz , que o oleo de enxofre aproveita para os enjoamentos do estomago , & fraquezas delle , porque o conforta muito , adelgaça os humores viscosos , & grossos , que estaõ infiltrados nas tunicas do mesmo estomago ; he proveitoso nos soluços , & colicas frias , abre as obstrucções do figado ,  & do baço , emenda a podridaõ das febres , ardentes , & a malignidade pestilencial .	10. Zacuto Lusitano diz, que o óleo de enxofre aproveita para os enjoamentos do estômago, e fraquezas dele, porque o conforta muito, adelgaça os humores viscosos, e grossos, que estão infiltrados nas túnicas do mesmo estômago; é proveitoso nos soluços, e cólicas frias, abre as obstruções do fígado, e do baço, emenda a podridão das febres, ardentes, e a malignidade pestilencial.
Unturas quaesquer que forem como se hao de applicar.	Unturas quaisquer que forem como se hão de aplicar.
Se elles naô variaõ muito o tratamento , daraõ mais conhecimento , e clareza , para conduzir methodicamente os doentes .	Se eles não variam muito o tratamento, darão mais conhecimento, e clareza, para conduzir metodicamente os doentes.
AContece muitas vezes ordenar o Medico muitos remedios juntos , v. g. sangria , cordial , ajuda , untura , defensivo , e comer cedo .	Acontece muitas vezes ordenar o Médico muitos remédios juntos, v. g. sangria, cordial, ajuda, untura, defensivo, e comer cedo.
Esta pintura he na verdade horrorosa , mas com tudo he natural : he precizo pois remediar bem cedo todos estes symptomas , e antes que a doença tenha feito hum certo progresso ; assim logo que tiver cessado o frio da febre , far-se-ha huma sangria larga ; principalmente se os doentes forem moços , e vigorosos ; porque se observa , que huma só sangria sendo hum pouco forte allivia mais os doentes , do que duas , ou tres pequenas , feitas por differentes vezes : repetir-se-ha a sangria todas as vezes que a tosse , a dôr , a oppressaõ se elevarem a hum certo gráo de violencia : he raro , que tres ou quatro sangrias feitas no espaço de vinte e quatro horas , naõ ponhaõ os doentes em melhor estado , e em via se curarem ; porque se esta quantidade de sangrias os naõ allivia , entaõ deve-se ter todo o medo á molestia .	Esta pintura é na verdade horrorosa, mas com tudo é natural: é preciso pois remediar bem cedo todos estes sintomas, e antes que a doença tenha feito um certo progresso; assim logo que tiver cessado o frio da febre, far-se-á uma sangria larga; principalmente se os doentes forem moços, e vigorosos; porque se observa, que uma só sangria sendo um pouco forte alivia mais os doentes, do que duas, ou três pequenas, feitas por diferentes vezes: repetir-se-á a sangria todas as vezes que a tosse, a dor, a opressão se elevarem a um certo grão de violência: é raro, que três ou quatro sangrias feitas no espaço de vinte e quatro horas, não ponham os doentes em melhor estado, e em via se curarem; porque se esta quantidade de sangrias os não alivia, então deve-se ter todo o medo á moléstia.
Em quanto se fazem as sangrias , he necessario naõ desprezar os outros remedios , taes como os banhos quentes das pernas ; deixar-se-haõ estar os doentes nelle por meia hora , e até mesmo mais tempo , se se acharem bem nelle ; attender-se-ha sómente a te-los bem enbrulhados , e cobertos , para que o frio naõ faça parar o suôr , que este banho ordinariamente excita , e faça assim perder o fructo , que delle se devia tirar .	Enquanto se fazem as sangrias, é necessário não desprezar os outros remédios, tais como os banhos quentes das pernas; deixar-se-ão estar os doentes nele por meia hora, e até mesmo mais tempo, se se acharem bem nele; atender-se-á somente a tê-los bem embrulhados, e cobertos, para que o frio não faça parar o suor, que este banho ordinariamente excita, e faça assim perder o fruto, que dele se devia tirar.
Porèm como eu visse ao doente posto em taõ grande perigo , que se lhe naõ acudisse assim a rebater a qualidade venenosa da febre com o Bezoartico , como a extinguir , & fixar a fermentaçaõ febril dos crescimentos , avia certamente de morrer ; me resolvi a dar o Bezoartico , & quinaquina juntos , mayormente vendo que huma sezaõ era mayor que a outra , & por consequencia obrigado da extrema necessidade reputei as sobreditas sezões naõ como continuas  eraõ , mas como intermittentes , & nesta supposiçaõ pondo de parte o medo , & sem fazer caso da maledicencia , receitei o cordeal seguinte .	Porém como eu visse ao doente posto em tão grande perigo, que se lhe não acudisse assim a rebater a qualidade venenosa da febre com o Bezoártico, como a extinguir, e fixar a fermentação febril dos crescimentos, havia certamente de morrer; me resolvi a dar o Bezoártico, e quinaquina juntos, maiormente vendo que uma sezão era maior que a outra, e por consequência obrigado da extrema necessidade reputei as sobreditas sezões não como contínuas  eram, mas como intermitentes, e nesta suposição pondo de parte o medo, e sem fazer caso da maledicência, receitei o cordial seguinte.
Naõ aproveitando todos estes remedios , virá o Medico para receitar outros mais efficazes , e purgar como he costume .	Não aproveitando todos estes remédios, virá o Médico para receitar outros mais eficazes, e purgar como é costume.
CAPITULO XXIX .	CAPÍTULO XXIX.
Se o cozimento for quente, em que o enfermo tomar o banho , seja de fórma , que o naõ queime: se for de agoa quente, seja a quentura muy moderada; e sendo de agoa fria, naõ seja muito.	Se o cozimento for quente, em que o enfermo tomar o banho, seja de forma, que o não queime: se for de água quente, seja a quentura muito moderada; e sendo de água fria, não seja muito.
